Year,UCBApplicants,UCBAdmits,UCBEnrollees,UCLAApplicants,UCLAAdmits,UCLAEnrollees,UCSDApplicants,UCSDAdmits,UCSDEnrollees,UCIApplicants,UCIAdmits,UCIEnrollees,UCDApplicants,UCDAdmits,UCDEnrollees,UCRApplicants,UCRAdmits,UCREnrollees,UCSBApplicants,UCSBAdmits,UCSBEnrollees,UCMApplicants,UCMAdmits,UCMEnrollees
1994,28,12,3,57,28,19,26,17,6,51,34,10,14,8,0,40,32,4,22,19,0,,,
1995,33,8,3,73,18,12,42,23,7,68,51,16,15,12,1,59,49,11,18,12,0,,,
1996,45,19,9,70,21,6,54,31,9,58,46,12,16,9,1,37,31,7,17,12,4,,,
1997,30,8,7,52,10,4,52,28,8,53,30,8,14,5,0,47,44,15,25,18,1,,,
1998,49,13,8,71,20,7,61,25,7,74,34,11,12,8,0,60,46,13,26,4,0,,,
1999,58,14,6,93,24,11,80,49,21,100,53,16,24,15,3,64,51,11,38,19,6,,,
2000,77,16,6,116,36,18,112,61,23,131,79,23,41,31,6,82,76,22,57,17,3,,,
2001,56,11,8,94,20,14,94,25,6,110,38,13,34,21,9,73,55,21,41,11,1,,,
2002,82,13,6,113,35,16,113,46,14,121,67,24,47,32,4,84,75,20,62,31,4,,,
2003,95,13,5,138,36,21,137,43,10,157,78,28,53,19,4,111,91,32,76,28,3,,,
2004,80,17,8,123,31,15,124,44,16,132,62,15,37,19,2,98,81,24,61,28,7,12,0,0
2005,75,23,9,113,37,17,101,56,22,124,75,13,36,19,1,91,68,20,69,29,3,16,14,1
2006,101,17,8,153,43,23,163,74,27,179,94,21,48,31,4,136,114,26,100,45,6,34,28,0
2007,78,21,9,132,24,11,130,50,10,156,65,25,54,27,5,124,106,40,95,38,7,37,26,0
2008,86,16,4,126,23,7,130,33,10,158,58,20,71,38,8,120,91,28,69,26,6,34,27,0
2009,81,14,7,118,22,9,127,53,23,161,61,12,58,25,4,120,104,32,90,40,10,24,22,1
2010,68,12,6,112,25,15,113,52,22,157,57,8,62,22,4,104,85,38,88,22,1,43,39,0
2011,85,8,4,117,21,8,135,47,17,144,92,42,72,28,2,93,73,22,89,31,3,22,19,3
2012,61,9,2,112,20,11,113,35,16,154,43,13,74,33,9,94,57,25,100,38,13,18,12,0
2013,99,17,6,143,29,7,152,66,26,186,79,15,103,40,7,140,112,34,130,52,11,20,17,1
2014,83,9,1,128,14,8,136,39,17,158,43,10,89,37,12,119,80,27,114,52,15,29,16,2
